"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
133,17,0,0.926672436659358,1,1,8.34005192993422,7.95054049841816,7.58786157590805,7.19830160592473,6.62683602740235,6.03005951791368,5.26371179288467,4.45719144634013,3.60448420528686,2.36075134209715,0.47423529197266,0,1.1230019110021
134,17,0,0.926672436659358,1,1,9.26672436659358,8.87721293507752,8.51453401256741,8.12497404258409,7.55350846406171,6.95673195457304,6.19038422954403,5.38386388299949,4.53115664194622,3.28742377875651,1.40090772863202,0,1.1230019110021
135,17,0,0.926672436659358,1,1,10.1933968032529,9.80388537173688,9.44120644922676,9.05164647924344,8.48018090072107,7.8834043912324,7.11705666620338,6.31053631965885,5.45782907860557,4.21409621541586,2.32758016529138,0,1.1230019110021
136,17,0,0.926672436659358,1,1,11.1200692399123,10.7305578083962,10.3678788858861,9.9783189159028,9.40685333738043,8.81007682789176,8.04372910286274,7.23720875631821,6.38450151526493,5.14076865207522,3.25425260195073,0,1.1230019110021
137,17,0,0.926672436659358,1,1,12.0467416765717,11.6572302450556,11.2945513225455,10.9049913525622,10.3335257740398,9.73674926455112,8.9704015395221,8.16388119297757,7.31117395192429,6.06744108873458,4.18092503861009,0,1.1230019110021
138,17,0,0.926672436659358,1,1,12.973414113231,12.583902681715,12.2212237592048,11.8316637892215,11.2601982106991,10.6634217012105,9.89707397618146,9.09055362963693,8.23784638858365,6.99411352539394,5.10759747526945,0,1.1230019110021
139,17,0,0.926672436659358,1,1,13.9000865498904,13.5105751183743,13.1478961958642,12.7583362258809,12.1868706473585,11.5900941378698,10.8237464128408,10.0172260662963,9.16451882524301,7.9207859620533,6.03426991192881,0,1.1230019110021
140,17,0,0.926672436659358,1,1,14.8267589865497,14.4372475550337,14.0745686325236,13.6850086625402,13.1135430840179,12.5167665745292,11.7504188495002,10.9438985029556,10.0911912619024,8.84745839871266,6.96094234858817,0,1.1230019110021
141,17,0,0.926672436659358,1,1,15.7534314232091,15.363919991693,15.0012410691829,14.6116810991996,14.0402155206772,13.4434390111886,12.6770912861595,11.870570939615,11.0178636985617,9.77413083537201,7.88761478524753,0,1.1230019110021
142,17,0,0.486777913049989,1,1,16.6801038598684,16.2905924283524,15.9279135058423,15.538353535859,14.9668879573366,14.3701114478479,13.6037637228189,12.7972433762744,11.9445361352211,10.7008032720314,8.81428722190688,0,1.1230019110021
